name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
discovery bay california,2022-07-15,32.1,14.2,22.6,30.5,14.2,22.2,10.5,50.3,0,0,0,,0,0,35.3,22,278.2,1013.2,0,16,172.6,14.8,9,10,2022-07-15T05:56:21,2022-07-15T20:28:13,0.57,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-07-16,37.9,15.7,25.9,35.4,15.7,25.1,10,43.4,0,0,0,,0,0,35.3,19.5,303.7,1010.9,0,16,182.6,15.7,9,10,2022-07-16T05:57:04,2022-07-16T20:27:41,0.6,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-07-17,36.8,17.5,26.8,35.2,17.5,26.1,10.4,40.4,0,0,0,,0,0,28.8,23.5,297.8,1008.3,0,16,175.5,15.1,9,10,2022-07-17T05:57:48,2022-07-17T20:27:06,0.63,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-07-18,37.2,18.3,27.2,34.7,18.3,26.3,8.3,34.4,0,0,0,,0,0,35.3,23,287,1011.3,0,16,155.2,13.4,8,10,2022-07-18T05:58:32,2022-07-18T20:26:30,0.67,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-07-19,35.1,16.4,25.4,32.6,16.4,24.6,8.4,39.3,0,0,0,,0,0,25.2,25.1,300.1,1013.9,0.3,16,195.2,16.8,9,10,2022-07-19T05:59:17,2022-07-19T20:25:53,0.7,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-07-20,34.7,14.6,23.5,32.4,14.6,22.9,9.4,46.6,0,0,0,,0,0,34.2,21.4,294.2,1015.1,0,16,198.5,17.1,9,10,2022-07-20T06:00:03,2022-07-20T20:25:13,0.75,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-07-21,35.1,14.3,23.5,33,14.3,22.8,9,45.4,0,0,0,,0,0,30.2,23,286.1,1013.8,0.7,16,212,18.4,10,10,2022-07-21T06:00:49,2022-07-21T20:24:32,0.77,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-07-22,34.3,15.1,24,31.9,15.1,23.3,7.1,38.7,0,0,0,,0,0,40.7,26.3,286,1012,0,16,210.5,18.1,10,10,2022-07-22T06:01:36,2022-07-22T20:23:49,0.8,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-07-23,33.4,14.4,22.7,31.5,14.4,22.2,9.1,45.7,0,0,0,,0,0,37.8,18.8,282.7,1010.4,0,16,218.5,18.8,10,10,2022-07-23T06:02:24,2022-07-23T20:23:04,0.83,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-07-24,33.2,14.3,22.6,31.7,14.3,22.3,11.2,52.4,0,0,0,,0,0,17.6,20,307,1009.8,0,16,215.6,18.5,10,10,2022-07-24T06:03:11,2022-07-24T20:22:18,0.87,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-07-25,30.2,14.4,21,29.2,14.4,20.8,11.6,58.2,0,0,0,,0,0,24.1,22.2,296.6,1010.5,11.2,16,207.3,17.9,9,10,2022-07-25T06:04:00,2022-07-25T20:21:31,0.9,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-07-26,31.4,16.1,22.1,29.9,16.1,21.7,11.8,56.2,0,0,0,,0,0,29.5,25.7,302.6,1011.9,10.7,16,209.2,18,10,10,2022-07-26T06:04:48,2022-07-26T20:20:41,0.93,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-07-27,32.5,15.1,22.4,30.4,15.1,21.9,10.3,53.3,0,0,0,,0,0,29.5,23.5,292.8,1013.4,13,16,209.7,18.1,9,10,2022-07-27T06:05:37,2022-07-27T20:19:50,0.97,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-07-28,30.4,14.8,21.4,29.7,14.8,21.2,12.5,59.6,0,0,0,,0,0,47.9,24.2,279.1,1011.2,4.2,16,211.2,18.3,10,10,2022-07-28T06:06:27,2022-07-28T20:18:58,0,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237,CI047"
discovery bay california,2022-07-29,30.4,15.8,21.5,30,15.8,21.4,13.9,64.5,0,0,0,,0,0,44.6,24.6,269.5,1010.3,19.4,16,272.3,23.6,8,10,2022-07-29T06:07:17,2022-07-29T20:18:04,0.04,Clear,Clear conditions throughout the day.,clear-day,"KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237,CI047"
